
ID,Set,Word,Meaning,Sentence,Translation,
40,set3,DJ,명. 디제이(라디오나 파티에서 음악을 트는 사람),The DJ plays good music for everyone.,DJ는 모두를 위해 좋은 음악을 틀어 준다.,
41,set3,empty,형. 비어 있는,The street is empty.,거리가 비어 있다.,
42,set3,grab,"동. 잡다, 움켜쥐다",I grab my son’s hand and get up.,나는 아들의 손을 잡고 일어난다.,
43,set3,heavily,"부. 심하게, 많이",It's snowing heavily.,눈이 많이 내리고 있다.,
44,set4,jacket,명. 재킷,You need a jacket.,너는 재킷이 필요하다.,
45,set4,later,"부. 후에, 나중에",Give me a call later.,나중에 전화해 줘.,
46,set4,letter,명. 편지,The girl is sending a letter.,그 소녀는 편지를 보내고 있다.,
47,set4,loud,형. (소리가) 큰,Loud hip-hop music is coming from Minjun’s smartphone.,민준의 스마트폰에서 시끄러운 힙합 음악이 나오고 있다.,
48,set4,lucky,형. 운이 좋은,What a lucky him!,그는 정말 운이 좋다!,
49,set4,lunchbox,명. 도시락,Bring your lunchbox tomorrow.,내일 도시락을 가져와라.,
50,set4,outside,"부. 밖, 바깥 / 전. ~ 밖에",It's cold and windy outside.,밖은 춥고 바람이 분다.,
51,set4,perfect,형. 완벽한,Everything's perfect here!,여기 모든 것이 완벽하다!,
52,set4,practice,명. 연습 / 동. 연습하다,I have soccer practice today.,나는 오늘 축구 연습이 있다.,
53,set4,present,형. 현재의 / 명. 현재,Do your best in the present.,지금 최선을 다해라.,
54,set4,rap,명. 랩,Many young people like rap music.,많은 젊은 사람들이 랩 음악을 좋아한다.,
55,set4,ready,형. 준비가 된,Minjun gets ready for school.,민준이는 학교 갈 준비를 한다.,
56,set4,record,동. 녹음하다,The man is recording the sounds.,그 남자는 소리를 녹음하고 있다.,
57,set4,request,"동. 신청하다, 요청하다",I request an interview with the actor.,나는 그 배우와 인터뷰를 요청한다.,
58,set4,seat,"명. 자리, 좌석",Can I get a window seat?,창가 자리로 받을 수 있을까요?,
59,set5,share,동. 공유하다,We share information with others.,우리는 다른 사람들과 정보를 공유한다.,
60,set5,show,"명. 쇼, (라디오) 프로그램 / 동. 보여 주다",We watch a music show on TV.,우리는 TV 음악 프로그램을 본다.,
61,set5,sometimes,"부. 때때로, 가끔",Sometimes my parents take a walk in the park.,가끔 부모님은 공원에서 산책하신다.,
62,set5,surf,"동. 서핑을 하다, 검색하다",Minjun turns on the computer and surfs the Internet.,민준이는 컴퓨터를 켜고 인터넷을 한다.,
63,set5,tablet,명. 태블릿 피시(화면을 터치하는 휴대용 컴퓨터),Many people watch videos on tablets.,많은 사람들이 태블릿으로 영상을 본다.,
64,set5,tape,명. (녹음∙녹화) 테이프,Her voice on tape is very nice.,녹음된 그녀의 목소리는 매우 좋다.,
65,set5,weather,명. 날씨,What’s the weather like today?,오늘 날씨는 어떠니?,
66,set5,webtoon,명. 웹툰,Webtoons are very popular with kids.,웹툰은 아이들에게 매우 인기 있다.,
67,set5,write,쓰다,Emily writes a new book.,에밀리는 새 책을 쓴다.,
68,set5,alarm clock,자명종,Turn off the alarm clock.,알람 시계를 꺼라.,
69,set5,field trip,현장 학습,Turn off the alarm clock.,알람 시계를 꺼라.,
70,set5,listen to,~을 듣다,She listens to the song.,그녀는 그 노래를 듣는다.,
71,set5,look at,~을 보다,What is he looking at?,그는 무엇을 보고 있니?,
72,set5,look out,~의 밖을 내다보다,Look out the window. It’s snowing!,창밖을 봐. 눈이 오고 있어!,
73,set5,get on,~을 타다,I get on the subway every morning.,나는 매일 아침 지하철을 탄다.,
74,set6,get ready for,~을 준비하다,It’s time to get ready for work.,일할 준비를 할 시간이다.,
75,set6,go off,울리다,The siren is going off again.,사이렌이 또 울리고 있다.,
76,set6,take out,~을 꺼내다,My aunt takes out a pen from her pocket.,이모가 주머니에서 펜을 꺼낸다.,
77,set6,wait for,~을 기다리다,Let’s wait for the next bus to the airport.,공항으로 가는 다음 버스를 기다리자.,
78,set6,social media,소셜 미디어,Many people use social media these days.,요즘 많은 사람들이 소셜미디어를 사용한다.,
79,set6,practice,명. 연습,I have soccer practice until 7.,나는 7시까지 축구 연습이 있다.,
80,set6,exciting,"형. 신나는, 흥미진진한",The movie was very exciting.,그 영화는 매우 흥미진진했다.,
81,set6,welcome,"동. 환영하다, 맞이하다",We welcome you to our university.,우리 대학에 오신 것을 환영합니다.,
82,set6,shout,"동. 소리치다, 외치다",The players are shouting with joy. ,선수들이 기쁨에 외치고 있다.,
83,set6,believe,동. 믿다,I don't believe the news. ,나는 그 뉴스를 믿지 않는다.,
84,set6,play fetch,페치(던진 물건 물어 오기 놀이)를 하다,"Every morning, I play fetch with my dog. ",나는 매일 아침 강아지와 공놀이를 한다.,
85,set6,join,"동. 참여하다, 참가하다",You can join the festival. ,너는 그 축제에 참여할 수 있다.,
86,set6,silently,부. 조용히,Ms. Jones walked silently with her son. ,존스 씨는 아들과 함께 조용히 걸었다.,
87,set6,go over,~을 넘다,Many people go over the line.,많은 사람들이 선을 넘는다.,
88,set7,fence,"명. 울타리, 담장",My uncle is painting the fence behind the house.,우리 삼촌은 집 뒤의 울타리를 칠하고 있다.,
89,set7,toward,전. ~을 향하여,The boy is swimming toward us.,그 소년은 우리 쪽으로 헤엄치고 있다.,
90,set7,bump into,~에 부딪치다,I bumped into a door.,나는 문에 부딪혔다.,
91,set7,fall down,넘어지다,Eric fell down and broke his arm.,에릭은 넘어져 팔이 부러졌다.,
92,set7,jump into the air,공중으로 뛰어오르다,The children jumped into the air with joy. ,아이들은 기뻐서 공중으로 뛰어올랐다.,
93,set7,quickly,부. 재빨리,He quickly answered the question.,그는 질문에 빠르게 대답했다.,
94,set7,pass,"동. (공을) 패스하다, 건네주다",The striker passed the ball to another player.,공격수가 다른 선수에게 공을 패스했다.,
95,set7,surprised,형. 놀란,I was surprised at his acting.,나는 그의 연기에 놀랐다.,
96,set7,glad,형. 기쁜,I'm glad to help you. ,너를 도와서 기쁘다.,
97,set7,excited,"형. 신이 난, 흥분한",The girls are excited about the concert.,그 소녀들은 콘서트 때문에 신이 나 있다.,
98,set7,call out,외치다,Henry called out to them for help.,헨리는 도움을 요청하며 그들에게 외쳤다.,
99,set7,against,"전. ~에 맞서, ~에 대항하여",Our classmates played soccer against Class 5. ,우리 반 친구들은 5반과 축구 경기를 했다.,
100,set7,break,명. 휴식 시간,Get some rest during the break. ,쉬는 시간에 좀 쉬어라.,
101,set7,carry,"동. 나르다, 옮기다",I can carry your bag. ,내가 네 가방을 들어 줄게.,
102,set7,lose,동. 잃어버리다,I lost my smartphone. ,나는 스마트폰을 잃어버렸다.,
103,set7,match,"명. 경기, 시합",I have a soccer match next week. ,나는 다음 주에 축구 경기가 있다.,
104,set7,order,동. 주문하다,Can you order a drink for me?,나 대신 음료 하나 주문해 줄 수 있니?,
105,set7,soon,"부. 곧, 머지않아",Her birthday is coming up soon. ,그녀의 생일이 곧 다가온다.,
106,set7,happen ,"동. 일어나다, 생기다",This must never happen again. ,이런 일은 다시는 일어나면 안 된다.,
107,set7,hide,"동. 숨기다, 가리다",Don't hide anything from me. ,나에게 아무것도 숨기지 마라.,
108,set7,bored,형. 지루해하는,The boy looks bored. ,그 소년은 지루해 보인다.,
